id,full_text,final_sentiment
38,Bos Pengusaha Kasih Peringatan Siap-Siap Gelombang PHK Pegawai Hotel https://t.co/hyBwER8spz 19 Juta Lapangan Kerja ??? #IndonesiaGelap,negatif
39,@xiaoczhan betull banget kaa aku juga ngerasain perihal ukt di ptkin itu terlalu tinggi ada bbrpa tmnku yg bahkan blm mulai ospek tp langsung mengundurkan diri karena ukt yg tinggi apalagi di kampusku katanya udah gabisa lagi banding ukt bantu mahasiswa ptkin juga guys #IndonesiaGelap,negatif
40,jangan tanya nasionalis ku bung #KaburAjaDulu bukan gertakan... ini gugatan untuk kelen yang menyengsarakan insan-insan cendekiawan... kibarkan panji-panji perjuangan naikan #benderahitam bendera perubahan... #IndonesiaGelap kawan https://t.co/6e8Di2NUTx,negatif
41,Bahkan mantannya founding fathers bangsa ini lebih milih kesejahteraan kucing di sana dari pada status WNI. #IndonesiaGelap #KaburAjaDulu,negatif
42,Its giving sebelum dan setelah pilpres #daruratpendidikan #IndonesiaGelap,netral
43,14 Februari 2024 setahun lalu penyalahgunaan kekuasaan mengukuhkan politik dinasti yang haus kendali. Dari merakyat ke menjaga tahta keluarga. Reformasi mati demokrasi hanya ilusi semata. Happy Valentine esp to my fellow Indonesians #AdiliJokowi #IndonesiaGelap https://t.co/IBSR1S3jBQ,negatif
44,// ternyata dimas ini menggebu-gebu bener bahas politik pemerintahan karakter darimana ini? tercipta sejak kapan? dan gue baru sadar? setelah pelanggar ham dan ipk jarjit naik tahta makin bacot. #IndonesiaGelap #IndonesiaCemas,negatif
45,tidak apa² yg penting #KaburAjaDulu karena negeri ini beserta pejabatnya sdh kayak anjing. #IndonesiaGelap #kaburduluaja #PrabowoSudahGagal #kabinetgemuk,negatif
46,Mending bubar ga sih negara ini? #daruratpendidikan #KaburAjaDulu #darurat #IndonesiaGelap #IndonesiaGelap2025,negatif
47,dari dulu Indonesia ini blm MERDEKA rakyat dibuat agar tetap memberi makan para penjabat. Bnyk bljr sejarah! terutama sejarah yg di antisipasi agar tdk diketahui oleh rakyat. ADA TAU SEJARAH YG DISEMBUNYIKAN NEGARA. YTTA deh #PeringatanDarurat #IndonesiaGelap #daruratpendidikan https://t.co/8Q4o8TuHrD,negatif
48,mempunyai sikap gotong dan solidaritas yang demikian sebagai modal untuk melakukan perlawanan Sekian. Tag #daruratpendidikan #savekipkuliah #PeringatanDarurat #indonesiagelap #KaburAjaDulu,negatif
49,opini pribadi terkait viralnya tagar #kaburajadulu. Baca sampai habis sebelum kita beradu argumentasi sebagai bentuk dialektika kita bersama. Tag : #daruratpendidikan #savekipkuliah #PeringatanDarurat #indonesiagelap #KaburAjaDulu,netral
50,pemerintah demen banget bikin rakyatnya begini kali ya baru bebenah diri. #Indonesiarevisimulu #Indonesiagelap #Daruratpendidikan https://t.co/lbMnR7Is5g,negatif
51,@diraism Turunkan presiden...harus pada gerak semua..#IndonesiaGelap,negatif
52,@ARSIPAJA sama seperti pendahulunya. rumus kebalikan udah paling bener. #IndonesiaGelap,negatif
53,@nindya_annisaa TOLAK PEMANGKASAN DANA PENDIDIKAN ‼️ #daruratpendidikan #savekipkuliah #turunkanuktptn #IndonesiaGelap #IndonesiaCemas,negatif
54,@AirinDatangLagi TOLAK PEMANGKASAN DANA PENDIDIKAN ‼️ #daruratpendidikan #savekipkuliah #turunkanuktptn #IndonesiaGelap,negatif
55,Dampak efisiensi #IndonesiaGelap #KaburAjaDulu #daruratpendidikan #AdiliJokowiMeluas #AdiliJokowi #ValentinesDay *BEASISWA DAN BPI DI PANGKAS* https://t.co/EfzrkOHlmt *BIAYA KULIAH PTN DAN PTS AKAN NAIK* https://t.co/K5R9GXGT4s *ANGGARAN RISET DI KURANGI https://t.co/YrxzzL5T5d,negatif
56,#indonesiagelap karena presidennya @prabowo omon omon doang,negatif
57,saatnya Mahasiswa n Civitas Akademi berembuk untuk membicarakan nasibnya sendiri #IndonesiaGelap #ValentinesDay *BEASISWA DAN BPI DI PANGKAS* https://t.co/k3J7OOGfjJ *BIAYA KULIAH PTN DAN PTS AKAN NAIK* https://t.co/z8lxQIOY4W *ANGGARAN RISET DI KURANGI* https://t.co/yqn5dFFD7w,negatif
58,Siap siap masuk zaman kegelapan pendidikan dan pengetahuan. #KaburAjaDulu #IndonesiaGelap #AdiliJokowiMeluas *BEASISWA DAN BPI DI PANGKAS* https://t.co/yC2fqFmTxF *BIAYA KULIAH PTN DAN PTS AKAN NAIK* https://t.co/JjTbryyi6Z *ANGGARAN RISET DI KURANGI* https://t.co/lGKI2epp1k,negatif
59,jangan sampe salah liat ya guyss #TrendingNow #IndonesiaGelap #IndonesiaCemas2025 #indonesiadarurat #balikinibukotakejakarta https://t.co/ltmIcyyJD2,netral
60,@aarnataw TOLAK PEMANGKASAN DANA PENDIDIKAN ‼️ #daruratpendidikan #savekipkuliah #turunkanuktptn #PeringatanDarurat #IndonesiaGelap #IndonesiaCemas2025,negatif
61,semoga tambah berkah #ValentinesDay #humor #lucu #duniamalam #IndonesiaGelap #LINGORMFansignVDay2025 https://t.co/Ndsx2e3nWo,netral
62,Krn itu sudah saatnya kita mulai berpikir utk mengganti sistem hari ini menuju sistem yang diperintahkan sang Pencipta yg tdk punya kepentingan apapun pada manusia sistem hidup terbaik hnya ditemukan pada sistem kepemimpinan Islam. #IndonesiaGelap #PeringatanDarurat https://t.co/xZ0JUGvrH1,negatif
63,Ya ampyun heboh bgt dunia sejak kemarin dg tagar #PeringatanDarurat #AdiliJokowi dan ramai ingin #KaburAjaDulu karena #IndonesiaGelap.,negatif
64,@fmnpusat Bagaimana dengan ini ? Ini bukan omon omon. Ini ancaman yg tidak boleh di sepelekan. Kalau pemerintah sudah tdk pro rakyat bagaimana solusi saudara saudara #indonesiagelap https://t.co/VMe8iGhjWt,negatif
65,Prabowo-Gibran Janjikan 19 Juta Lapangan Kerja TKN: Target yang Masuk Akal Klik untuk baca: https://t.co/VYpRZ2Js47 #daruratpendidikan #IndonesiaGelap,?
66,Udah ga bisa berkata² lagi sama efisiensi ga jelas ini #KIPKuliah #PindahAjaDulu #IndonesiaCemas2025 #savekipkuliah #IndonesiaGelap #PeringatanDarurat,negatif
67,Temen gw udah mana anak fisip yg pada jd voter 02 dengan bangga pasang opini kalau pilihannya gak salah wkwkwk makan noh ukt #indonesiacemas #peringatandarurat #savekipkuliah #indonesiagelap,negatif
68,buku dengan copyright 1946 relate sama kondisi Indon 2025 gokil mau mundur sampai seberapa lagi kita #IndonesiaGelap https://t.co/HeQBqkAbbo,negatif
69,Yaa begitulah kira kira. #PeringatanDarurat #IndonesiaGelap,netral
70,Selalu ngucap amit2 tiap liat foto fufufafa di dinding. #ValentinesDay #IndonesiaGelap,negatif
71,@kemgelapan Pantes dicap #IndonesiaGelap... Wong animenya dibawah standar.,netral
72,Indonesia menuju kecemasan mari serukan gerak perlawanan #savekipkuliah #PeringatanDarurat #PendidikanNomorSatu #IndonesiaGelap #najwa https://t.co/Fql7q5yQVc,negatif
73,[Poem - Indonesian] 『𝓐𝓷𝓭𝓪𝓲 𝓔𝓼𝓸𝓴 𝓚𝓲𝓪𝓶𝓪𝓽』 #IndonesiaGelap #ValentinesDay https://t.co/ZtGiQQJvEb,netral
74,@AiraNtieReal @wa2nntx hmmmm ku sedih naikin hastag aja lah kibarkan #benderahitam bajak laut terangi kembali #IndonesiaGelap,negatif
75,@idextratime Baru 100 hari bikin kekacauan negara menuju #IndonesiaGelap malah mau bikin keberlanjutan kerusakan sampai Indonesia Bubar 2030?? Muke gilee ini orang..,negatif
76,@txtfromIR pejabat party rakyat sakaratul maut #KaburAjaDulu #IndonesiaGelap #AdiliJokowi,negatif
77,HARUSNYA YG DIPOTONG PENSIUNAN DPR &amp; MENTRI YG CUMA JABAT 5 TAHUN + HAPUS TUNJANGAN DPR &amp; MENTRI !!!!!! #PeringatanDarurat #daruratpendidikan #IndonesiaGelap #IndonesiaGelap2025 #AnggaranBijakUntukRakyat #PendidikanNomorSatu #PemerintahKorupsi #kabinetmerahputih https://t.co/JTnFe7HMYg,negatif
78,HARUSNYA YG DIPOTONG PENSIUNAN DPR &amp; MENTRI YG CUMA JABAT 5 TAHUN + HAPUS TUNJANGAN DPR &amp; MENTRI !!!!!! #PeringatanDarurat #daruratpendidikan #IndonesiaGelap #IndonesiaGelap2025 #PemerintahKorupsi,negatif
79,seolah orang miskin dilarang punya pendidikan yang tinggi #PeringatanDarurat #daruratpendidikan #savekipkuliah #turunkanuktptn #IndonesiaGelap #PeringatanDarurat,negatif
80,Kacau banget negri gua ya Allahh #PeringatanDarurat #IndonesiaGelap #IndonesiaGelap2025,negatif
81,Keadaan orang indonesia Dan juga dallas mavs fan #IndonesiaGelap https://t.co/dPFLWG7ycC,netral
82,Jepang menawarkan berbagai peluang kerja bagi warga negara asing pada beberapa sektor utama seperti pengajaran bahasa Inggris teknologi informasi dan teknik jepang termasuk slh satu negara tujuan imigran Indonesia cek lengkapnya https://t.co/S304u4rgrh #IndonesiaGelap https://t.co/YZx6V1JIhj,netral
83,#KaburAjaDulu bukan sekadar ajakan untuk liburan tetapi juga mencerminkan keinginan untuk mencari kehidupan yang lebih baik di luar negeri. Tagar ini menjadi viral di media sosial terutama di kalangan anak muda Cek info lengkapnya https://t.co/S304u4rgrh #IndonesiaGelap https://t.co/1oVoAJTiDO,negatif
84,Yang joget joget yang kalau dikasi tau kemarin kemarin sok sok brutal mana ni? Liat pilihanmu.. #IndonesiaGelap,negatif
85,Dampak efisiensi APBN Karena banyak hutang yg dibuat pemerintah sebelumbya yg yaitu Jokowi yg jatuh tempo. Penghianatan era jokowi membabibuta...gila. #AdiliJokowi #AdiliJokowiMeluas #KaburAjaDulu #daruratpendidikan #IndonesiaGelap https://t.co/atL1kPsjVS,negatif
86,Segera membaik indonesia #IndonesiaGelap https://t.co/PiW72zkJxD,positif
87,Perlu berapa banyak warna lagi? #savekipkuliah #daruratpendidikan #IndonesiaGelap https://t.co/nXDwPH021U,netral
88,Baru lewati 100 hari bekerja ... banyak masalah sudah ngegas mau maju lagi di Pilpres 2029#Nalar #IndonesiaGelap,negatif
89,@jefry_wnd Terus perjuangkan hak rakyat #IndonesiaGelap,negatif
90,#IndonesiaGelap semangat kaka kakaa ,positif
91,@MurtadhaOne1 Hidup Rakyat Indonesia #IndonesiaGelap,positif
92,@DrEvaChaniago Bantu sebar QR ini Bu dok . #IndonesiaGelap #IndonesiaGelap2025 https://t.co/fmL2TgeNyP,netral
93,INDONESIA GELAP Pemangkasan anggaran: Hemat untuk rakyat atau dana untuk aparat ?. #IndonesiaGelap #IndonesiaCemas https://t.co/kAIBk2uhSl,negatif
94,Panjang umur perjuangan #IndonesiaGelap by @prabowo @Gerindra,positif
95,Pas si D muncul kocak banget #IndonesiaGelap #Indo,negatif
96,@msaid_didu Ikhtiar bersama membuat terang Indonesia. Lawan para-para pembuat #IndonesiaGelap !!!,negatif
97,PERCAYA KAN KALAU OMONGAN @jokowi itu Rumus nya kebalikannya Tukang Dusta koq dipercaya. #IndonesiaGelap https://t.co/ftg1ZV56qF,negatif
98,@sjafriesjams @KimJohnsonMP @Kemhan_RI @prabowo @setkabgoid @KemensetnegRI Klo pendidikan kaya g deh Anggaran pendidikan kan di potong Jadi g guna kerja sama di bidang pendidikan #IndonesiaGelap,negatif
99,buzzer partai oposisi please gausah nambahin bumbu. ketika rezim ini bubar rakyat belum tentu menerima junjunganmu itu! #IndonesiaGelap,negatif
100,ya lu dilengserin trs diganti ke yang JAUHHH lebih cerdas dan berintegritas drpd lu juga ogah kan?? lu kan kekuasaan &gt;&gt;&gt;&gt; rakyat. #IndonesiaGelap,negatif
101,kalo disuruh gebukin rakyat langsung gasPOL Melindungi Mengayomi dan Melayani Masyarakat cuma isapan jemPOL POL POL POL POL MODAL BORGOL POL POL POL POL TUKANG TAMPOL! (pake beatnya not like us) #IndonesiaGelap #ACAB,negatif
102,Sangat tidak beradab #IndonesiaGelap,negatif
103,@AirinDatangLagi #IndonesiaGelap udah gak ada harapan @Gerindra @prabowo bnr udah Terbius klenik Firaun solo yg sdh Menghianati NKRI &amp; gk lm lg SAMPEYAN kn di khianati jg @DPR_RI apa tindakan klean yg ktnya wakil Rakyat https://t.co/RRBATg9pdR,negatif
104,#IndonesiaGelap : Habis gelap terbitlah perlawanan!! https://t.co/XY3sAeRD2d,negatif
105,vibesnya tuh kaya bikin ogah hidup beneran tp aku punya real madrid yg harus ditonton esok hari #sikap #indonesiagelap,negatif
106,@Yurissa_Samosir @choymarkochoy @ay_prakasa2225 @JamalBoegis @msaid_didu @AmaluddinSSili1 @Boediantar4 @nomerorae @yaniarsim @PutriKayan16645 @Panitia68285950 Respon pemerintah yg seperti ini yg cuma bisa omon-omon menghadirkan mimpi buta kpd rakyat nya malah bikin #IndonesiaGelap semakin GELAP !!!,negatif
107,@kemgelapan gelap lebih cepat #IndonesiaGelap,negatif
108,@barengwarga #IndonesiaGelap karena pejabat negara SDH ga punya hati dan ahlak... Astaghfirullah.. Lahaula Wala quata ila bilaahil aliyill adziim...,negatif
109,Selamat Pagi @Abe_Mukti Pelajar ini tidak butuh makan gratis tapi butuh pendidikan gratis.... #IndonesiaGelap era @prabowo,negatif
110,@Bank_Joee_ Orang pekok Yg dilawan itu korupsinya bukan anggaran di potong asal2an Anggaran dipotong kalau koruptor dibiarkan yg ada malah habis dirampok koruptor Mau tahu lihat juara 2 OCCRP #IndonesiaGelap #AdiliJokowi #JagaBelaMahasiswa,negatif
111,Ndasmu @prabowo #IndonesiaGelap,negatif
112,@msaid_didu ... Mahasiswa rakyat Indonesia buruh dan ojol bersatu.. Lengser Pak #Ndasmu yang tidak becus ngurus Negara dan @fufufafa otak mesum yang gak ada ilmunya.. Alias karbitan... Segera.. Agar Indonesia selamat.. #AdiliJokowi #IndonesiaGelap #IndonesiaMadesu,negatif
113,DPR/MPR SEKARANG WAKIL DAJJAL OLIGARKI. MEREKA SIBUK NGURUSI PERUTNYA SENDIRI. BUBARKAN SAJA!!!! #IndonesiaGelap,negatif
114,@rahmaniarbaftim Kembung #IndonesiaGelap,netral
115,#IndonesiaGelap krn @prabowo @Gerindra .. Cc. Sibuta hati @DPR_RI,negatif
116,@Kucyber69 Laahh.. Klo kata Sayyah maahh.. Lengserkan Pak #Ndasmu dan @fufufafa otak mesum... Agar Indonesia selamat.. #AdiliJokowi #IndonesiaGelap #IndonesiaMadesu,negatif
117,@ButterCupdanie1 Ganti wowo bubarkan parlemen #IndonesiaGelap,negatif
118,@idextratime Pindahin mereka ke Liga 6 #IndonesiaGelap #IndonesiaGelap2025 https://t.co/8bnrjn4QNE,netral
119,pemerintahan lupa kah di thn 1998 siapa garda terdepan??? yups MAHASISWA/I mau keulang lagi kah kejadian itu?!?! prabowo aja kabur eh balik2 mau ngulang sejarah gelap indonesia #IndonesiaGelap2025 #IndonesiaGelap,negatif
120,Ya Allah gini amat sttmnt menteri gada yg adem #IndonesiaGelap #IndonesiaGelap2025 itu bentuk ketidak puasan rakyat Gampang bgt klo mo cari kebenarannya: tanya emak2 rakyat kecil Jan pake sure pay yg metodologi nya aja ga jelas Klo yg di survey kelas atas yg demen korup y ga https://t.co/yXmmunWh0j,negatif
121,@Yurissa_Samosir @choymarkochoy @ay_prakasa2225 @JamalBoegis @msaid_didu @AmaluddinSSili1 @Boediantar4 @nomerorae @yaniarsim @PutriKayan16645 @Panitia68285950 Pejabat bau kencur.. Ngomong ma keluarga ajh di rumah.. Jangan depan wartawan.. Klo cerita burung... Anda baru punya sayap.. #AdiliJokowi #IndonesiaGelap #IndonesiaMadesu,negatif
122,efisiensi ndasmu Ternyata goblok PEa Ndasmu satu circle #IndonesiaGelap #IndonesiaGelap2025 #PrabowoGibranMundurlah #HidupJokowi @prabowo https://t.co/n1HakMdmjP,negatif
123,Dagelan macam apa ini #IndonesiaGelap #IndonesiaGelap2025,negatif
124,#IndonesiaGelap #ArtistBersuara Karya dan asa ada dalam naungan kebebasan Berteriaklah kalau bisa Berpeganglah jika terguncang Rayakanlah jika menang. https://t.co/lguzsYQznG,negatif
125,@qentrunx Auranya mangkin gelap #IndonesiaGelap,negatif
126,Tidak adalah tanggapan presiden terkait aksi masa kemarin? Adakah perwakilan mahasiswa yang dipanggil pihak istana? #IndonesiaGelap,negatif
127,@Yurissa_Samosir @Gerindra @choymarkochoy @ay_prakasa2225 @JamalBoegis @msaid_didu @AmaluddinSSili1 @nomerorae @Boediantar4 @yaniarsim @Panitia68285950 @PutriKayan16645 Respon DPR yg seperti ini yg bikin #IndonesiaGelap makin GELAP aja !!!,negatif
128,Pendukung mulyono menganggap mahasiswa yg demo sebagai mahasewa Mereka bilang giliran perampasan aset diam gak demo dasar mahasewa Curiga karena mereka kebanyakan makan jadi ngantuk dan gak sempat baca apa saja tuntunan mahasiswa #IndonesiaGelap pemimpin nya gelap https://t.co/CgDLThqriV,negatif
129,Ketika Rakyat berteriak Adili Jokowi Prabowo lantangkan Hidup Jokowi #Nalar SERUKAN TERUS AKSI SERENTAK️ #PeringatanDarurat #IndonesiaGelap https://t.co/LBMdBDfc8T,negatif
130,Jejak digital Wowo jadi poster #IndonesiaGelap,negatif
131,@OposisiCerdas Emang nehh.. Pak #Ndasmu sungguh membagongkan... Tunjangan pejabat dan pensiunan pejabat yang dinaikkan kok gak ada khabar _nya yaahh... Huuffttt... Dibilang gak becus urus Negera.. Ntar gebrak - gebrak meja... Anehhh kaann Pak #Ndasmu.. #AdiliJokowi #IndonesiaGelap,negatif
132,Sekarang kalau terapkan kerangka analisis Santosian ini ke sistem hokum Indonesia akan fit dan makes sense. Sehingga gerakan protes #Indonesiagelap adalah keniscayaan dalam konteks hukum modern.,negatif
133,Mau buka gembok buat rt art #IndonesiaGelap di akun sebelah,netral
134,Tidak ada makan siang Gratis! Efisiensi Ndasmu #IndonesiaGelap #IndonesiaGelap https://t.co/PcknJ2z6PB,negatif
135,@amandasah__ Iya sana lapor polisi penjarain bareng jokowi yg sama2 sampah ;) #IndonesiaGelap,negatif
136,Negeri kita sedang tidak baik baik saja #IndonesiaGelap,negatif
137,@babufess Mauu dong hehe @yknowfezaa_ #IndonesiaGelap,netral
138,Tiap hari gue berharap pemimpin&amp;wakilny pejabat2 lain terus pemimpin seblumny mati boleh gak sihmaaf ya allah #IndonesiaGelap,negatif
139,Dengan Warna Kotoran Telinga Bisa Tunjukkan Kesehatan Anda | MY24 HOURS Amerika Serikat Tahukah Anda bahwa warna kotoran telinga bisa menunjukkan kesehatan Anda? Simak fakta warna kotoran telinga https://t.co/VwZrvGBCzf #MY24 #info #kesehatan #telinga #THT #IndonesiaGelap,netral
140,@geloraco Bhuhaha.. Opung emang ga ada matinya.. Tau ajh urusan yang bau - bau duit... Meski ga penting... Yang penting komisi cair... #AdiliJokowi #IndonesiaGelap #IndonesiaMadesu,negatif
141,ehh anjj lu buzzer² di bayar berapa si anjj lu ituu hamaa bangsatttt malah jadi nambah hancur gara gara lu anjj #IndonesiaGelap,negatif
142,@barengwarga Hiduplah Indonesia Raya! Hiduplah Mahasiswa Indonesia! Hiduplah Rakyat Indonesia! #IndonesiaGelap #IndonesiaGelap2025,positif
143,yaAllah tolong lindungi bangsa ini :( #IndonesiaGelap,negatif
144,Masih percaya pemerintah? Masih percaya Jokowi LBP Prabowo? Kalau tak percaya Lalu mereka bikin Danantara utk kelola aset2 besar negara milik rakyat. #PeringatanDarurat #IndonesiaGelap https://t.co/BIMUzCpbns,negatif
145,@DrEvaChaniago Siyap Uni demi merubah #IndonesiaGelap menjadi Terang Benderang ,negatif
146,Pengalaman uang goib 11rb T.... SKCk OCCRP diabaikan demi yg mulia raja Jawa. #IndonesiaGelap2025 #IndonesiaGelap,negatif
147,Harimau konon ternyata cuman omon omon. #IndonesiaGelap #HidupJikowiNdasmu,negatif
148,@Yurissa_Samosir @choymarkochoy @ay_prakasa2225 @JamalBoegis @msaid_didu @AmaluddinSSili1 @Boediantar4 @nomerorae @yaniarsim @PutriKayan16645 @Panitia68285950 #IndonesiaGelap PHK terus ? https://t.co/R5hA44c0FU,netral
149,Pak Timbul. Tenggelam bersama Mulyono. #IndonesiaGelap,negatif
150, Rumah 400 Jutaan di Cilebut Bogor . 1 Km-an ke Jalan Raya Kencana Puskesmas 3 Km-an ke Stasiun Cilebut Jl. Raya Jakarta - Bogor Marcopolo Waterpark Adventures 6 Km-am ke Giant Yasmin Transmart Yasmin RS Hermina Dll #Danantara #IndonesiaGelap #Mahasiswa https://t.co/T4bTFMsg9q,netral
151,@azissubekti maksud nya ini? #IndonesiaGelap https://t.co/KCsvHqzrUe,netral
